Austrodontura castletoni
Barkudia insularis
Burttia sylvatica
Melanocharacidium blennioides
Callulina stanleyi
Caridina linduensis
Caridina tumida
Symplocos rhamnifolia
Manilkara dardanoi
Eschweilera subcordata
Erythroxylum leal-costae
Eugenia hermesiana
Eugenia peruibensis
Dicypellium caryophyllaceum
Rudgea pachyphylla
Duguetia restingae
Miconia picinguabensis
Couepia joaquinae
Couepia meridionalis
Andreadoxa flava
Myrcia boanova
Triumfetta acahuizotlanensis
Chlorocypha aurora
Brachyglanis melas
Chlorocypha jejuna
Harttiella intermedia
Harttiella janmoli
Harttiella parva
Harttiella pilosa
Chromomastax movogovodia
Chromousambilla burtti
Peckoltia capitulata
Platypelis karenae
Craugastor chrysozetetes
Craugastor fecundus
Delos gardineri
Dendrotriton chujorum
Diplommatina alata
Diplommatina aurea
Diplommatina crassilabris
Diplommatina gibboni
Turdus xanthorhynchus
Acacia awestoniana
Aspalathus tulbaghensis
Euschmidtia bidens
Euschmidtia burtti
Euschmidtia dirshi
Euschmidtia phippsi
Euschmidtia uvarovi
Euschmidtia viridifasciata
Fallicambarus hortoni
Furcifer belalandaensis
Geophis damiani
Gongylosoma mukutense
Guibemantis diphonus
Urkumayu gladysae
Urkumayu petracinii
Hemistomia neku
Hemistomia shostakovichi
Garra arunachalami
Lanius newtoni
Annona ecuadorensis
Annona salicifolia
Annona longipes
Annona gracilis
Annona frutescens
Sloanea congesta
Sloanea illinizae
Eugenia earhartii
Hypselobarbus pulchellus
Cnesterodon pirai
Matilebias toba
Styrax schultzei
Oreopanax sucrensis
Moquilea espinae
Clusia tequendamae
Pleurothyrium bracteatum
Phragmotheca lemniscata
Matisia carderi
Zygia garcia-barrigae
Aphelandra taborensis
Critoniopsis uribei
Dendropanax glaberrimus
Symplocos pichindensis
Rhodostemonodaphne velutina
Piper sabaletasanum
Miconia macrantha
Metteniusa cundinamarcensis
Meliosma caucana
Matisia serpicostata
Clavija plumbea
Browneopsis sanintiae
Ayenia klugii
Quararibea cacao
Garcinia pulvinata
Swartzia magdalenae
Croton boavitanus
Erythroxylum riverae
